Tactic;ID;;Name;Use
Discovery;T1087;0,001;Account Discovery: Local Account;"OilRig has run net user, net user /domain, net group ""domain admins"" /domain, and net group ""Exchange Trusted Subsystem"" /domain to get account listings on a victim.[4]"
;;0,002;Account Discovery: Domain Account;"OilRig has run net user, net user /domain, net group ""domain admins"" /domain, and net group ""Exchange Trusted Subsystem"" /domain to get account listings on a victim.[4]"
Resource Development;T1583;0,001;Acquire Infrastructure: Domains;OilRig has set up fake VPN portals, conference sign ups, and job application websites to target victims.[3]
Command and Control;T1071;0,001;Application Layer Protocol: Web Protocols;OilRig has used HTTP for C2.[6][17][18]
;;;;During Outer Space, OilRig used HTTP to communicate between installed backdoors and compromised servers including via the Microsoft Exchange Web Services API.[16]
;;;;During Juicy Mix, OilRig used a VBS script to send POST requests to register installed malware with C2.[16]
;;0,004;Application Layer Protocol: DNS;OilRig has used DNS for C2 including the publicly available requestbin.net tunneling service.[6][17][18][10]
Collection;T1119;;Automated Collection;OilRig has used automated collection.[6]
Discovery;T1217;;Browser Information Discovery;During Outer Space, OilRig used a Chrome data dumper named MKG.[16]
Discovery;;;;During Juicy Mix, OilRig used the CDumper (Chrome browser) and EDumper (Edge browser) data stealers to collect cookies, browsing history, and credentials.[16]
Credential Access;T1110;;Brute Force;OilRig has used brute force techniques to obtain credentials.[17][12]
Collection;T1115;;Clipboard Data;OilRig has used infostealer tools to copy clipboard data.[14]
Execution;T1059;;Command and Scripting Interpreter;OilRig has used various types of scripting for execution.[1][19][20][7][21]
;;0,001;PowerShell;OilRig has used PowerShell scripts for execution, including use of a macro to run a PowerShell command to decode file contents.[1][22][9][13]
;;;;During Juicy Mix, OilRig used a PowerShell script to steal credentials.[16]
;;0,003;Windows Command Shell;OilRig has used macros to deliver malware such as QUADAGENT and OopsIE.[1][19][20][7][21] OilRig has used batch scripts.[1][19][20][7][21]
;;0,005;Visual Basic;OilRig has used VBScript macros for execution on compromised hosts.[10]
;;;;During Outer Space, OilRig used VBS droppers to deploy malware.[16]
;;;;During Juicy Mix, OilRig used VBS droppers to deliver and establish persistence for the Mango backdoor.[16]
Resource Development;T1586;0,002;Compromise Accounts: Email Accounts;OilRig has compromised email accounts to send phishing emails.[3]
;T1584;0,004;Compromise Infrastructure: Server;During Outer Space, OilRig compromised an Israeli human resources site to use as a C2 server.[16]
;;;;During Juicy Mix, OilRig compromised an Israeli job portal to use for a C2 server.[16]
Persistence, Privilege Escalation;T1543;0,003;Create or Modify System Process: Windows Service;OilRig has used a compromised Domain Controller to create a service on a remote host.[14]
Credential Access;T1555;;Credentials from Password Stores;OilRig has used credential dumping tools such as LaZagne to steal credentials to accounts logged into the compromised system and to Outlook Web Access.[6][17][23][18]
;;0,003;Credentials from Web Browsers;OilRig has used credential dumping tools such as LaZagne to steal credentials to accounts logged into the compromised system and to Outlook Web Access.[6][17][23][18] OilRig has also used tool named PICKPOCKET to dump passwords from web browsers.[18]
;;;;During Juicy Mix, OilRig used the CDumper (Chrome browser) and EDumper (Edge browser) to collect credentials.[16]
;;0,004;Windows Credential Manager;OilRig has used credential dumping tool named VALUEVAULT to steal credentials from the Windows Credential Manager.[18]
;;;;During Juicy Mix, OilRig used a Windows Credential Manager stealer for credential access.[16]
Command and Control;T1132;0,001;Data Encoding: Standard Encoding;During Juicy Mix, OilRig used a VBS script to send the Base64-encoded name of the compromised computer to C2.[16]
Collection;T1005;;Data from Local System;OilRig has used PowerShell to upload files from compromised systems.[13]
;T1025;;Data from Removable Media;OilRig has used Wireshark’s usbcapcmd utility to capture USB traffic.[14]
;T1074;0,001;Data Staged: Local Data Staging;During Juicy Mix, OilRig used browser data and credential stealer tools to stage stolen files named Cupdate, Eupdate, and IUpdate in the %TEMP% directory.[16]
Defense Evasion;T1140;;Deobfuscate/Decode Files or Information;A OilRig macro has run a PowerShell command to decode file contents. OilRig has also used certutil to decode base64-encoded files on victims.[1][22][20][24]
Defense Evasion;;;;During Juicy Mix, OilRig used a script to concatenate and deobfuscate encoded strings in Mango.[16]
Resource Development;T1587;0,001;Develop Capabilities: Malware;OilRig actively developed and used a series of downloaders during 2022.[25]
;;;;For Outer Space, OilRig created new implants including the Solar backdoor.[16]
;;;;For Juicy Mix, OilRig improved on Solar by developing the Mango backdoor.[16]
Command and Control;T1573;0,002;Encrypted Channel: Asymmetric Cryptography;OilRig used the PowerExchange utility and other tools to create tunnels to C2 servers.[17]
Resource Development;T1585;0,003;Establish Accounts: Cloud Accounts;During Outer Space, OilRig created M365 email accounts to be used as part of C2.[16]
Exfiltration;T1048;0,003;Exfiltration Over Alternative Protocol: Exfiltration Over Unencrypted Non-C2 Protocol;OilRig has exfiltrated data via Microsoft Exchange and over FTP separately from its primary C2 channel over DNS.[5][13]
Execution;T1203;;Exploitation for Client Execution;OilRig has exploited CVE-2024-30088 to run arbitrary code in the context of SYSTEM.[13]
